"","Point","class","CnpyCov","MidCov","RepCov","GrdCov","Duff","baf","dwd","Site","PntNum","GPS_E","GPS_N","Obs1","Obs2","Obs3","Date","Slp","Asp","SlpPos","EcoSys","EcoMoist","CanSpp1","CanHgt1","CanDist1","CanAge1","CanHgtLimb1","CanSpp2","CanHgt2","CanDist2","CanAge2","CanHgtLimb2","CanSpp3","CanHgt3","CanDist3","CanHgtLimb3","Duff_C","Duff_N","Duff_S","Duff_E","DUff_W","Pres_Can","Pres_Mid","Pres_Repr","Pres_Herb"
"1","BA3813","Succ",0.408163265306122,0.36734693877551,0.142857142857143,0.857142857142857,1,24.78660688,0,"BA","3813","8528.665","3202.840","CJ","PA","MT",2008-07-08,0,0,"Flat","CES203.496c","Mesic","Loblolly",51,NA,42,8,"Loblolly",52,NA,37,10,"Water Oak",73,NA,14,0,2,0,2,1,20,18,7,42
"2","BA3816","Pine*",0.877551020408163,0.489795918367347,0.183673469387755,0.510204081632653,2.8,47.7728936,19926.7137946751,"BA","3816","8528.347","3202.672","MT","PA","CJ",2008-07-08,4,360,"Flat","CES203.496c","Mesic","Loblolly",80,NA,35,29,"Loblolly",77,NA,32,32,"Willow Oak",122,NA,31,3,0,4,6,1,43,24,9,25
"3","BA3817","Succ",0.183673469387755,0.142857142857143,0.0612244897959184,0.959183673469388,1,6.41580064,0,"BA","3817","8528.170","3202.647","ET","MG","RA",2008-07-08,3,170,"Mid","CES203.496a","Mesic","Shortleaf Pine",72,NA,39,21,"Shortleaf Pine",51,NA,37,9,"Shortleaf Pine",62,NA,23,1,0,1,2,1,9,7,3,47
"4","BA3825","ForWet",0.795918367346939,0.714285714285714,0.183673469387755,0.755102040816326,2.2,67.97229728,0,"BA","3825","8528.190","3202.344","ET","MG","RA",2008-07-08,0,85,"Flat","CES203.496d","Mesic","Water Oak",114,NA,9999,17,"Water Oak",122,NA,66,9,"Sweetgum",106,NA,27,2,4,1,2,2,39,35,9,37
"5","BA3842","ForWet",0.755102040816326,0.387755102040816,0.183673469387755,0.795918367346939,1.2,105.53080896,92523.9908602617,"BA","3842","8528.093","3202.048","RA","MT",NA,2008-07-07,4,25,"Lower","CES203.496d","Mesic","Water Oak",123,NA,62,42,"Water Oak",124,NA,62,47,"Willow Oak",141,NA,29,0,0,1,3,2,37,19,9,39
"6","BA3859","ForWet",0.653061224489796,0.612244897959184,0.510204081632653,0.816326530612245,2.2,40.57161296,17402.4859854177,"BA","3859","8528.274","3201.783","ET","MG","RA",2008-07-09,2,180,"Flat","CES203.496d","Mesic","Cottonwood",86,NA,65,36,"Sweetgum",10,NA,9999,57,"Red Oak",18,NA,149,0,3,2,2,4,32,30,25,40
"7","BA3882","ForWet",0.510204081632653,0.693877551020408,0.489795918367347,0.673469387755102,1.6,18.37080624,264050.001214236,"BA","3882","8527.634","3201.424","ET","MG","RA",2008-07-08,0,120,"Flat","CES203.496d","Mesic","Loblolly",99,NA,35,39,"Sweetgum",78,NA,9999,34,"Sweetgum",78,NA,32,0,4,0,0,4,25,34,24,33
"8","BA3896","Succ*",0.591836734693878,0.693877551020408,0.530612244897959,0.612244897959184,2.8,53.38750464,9523.22290816227,"BA","3896","8526.971","3201.219","CJ","MT","PA",2008-07-08,0,0,"Flat","CES203.496d","Mesic","Water Oak",99,16,50,31,"Blackgum",68,33,68,33,"Water Oak",100,36,9,4,1,4,2,3,29,34,26,30
"9","BA3906","ForWet",0.836734693877551,0.959183673469388,0.938775510204082,0.571428571428571,1.2,33.75364656,15310.5517972699,"BA","3906","8527.513","3201.132","MT","PA","CJ",2008-07-09,0,0,"Flat","CES203.496d","Mesic","Water Oak",79,NA,27,36,"Sweetgum",115,NA,9999,37,"Tulip Poplar",165,NA,43,1,2,0,1,2,41,47,46,28
"10","BA3907","ForWet*",0.0204081632653061,0.0408163265306122,0,0.612244897959184,0,0,0,"BA","3907","8527.335","3201.104","CJ","PA","MT",2008-07-09,0,9999,"Flat","SEGAP211","Mesic","White Oak",84,NA,9999,13,"Tulip Poplar",38,NA,9999,12,"NTTC",NA,NA,NA,0,0,0,0,0,1,2,0,30
